id ,                            name                            ,     abbreviation    , count,commercial,modify,distribute,place_warranty,private_use,use_patent_claims,sublicense,use_trademarks,liability,include_copyright,include_license,distribute_original,disclose_source,state_changes,include_notice,install_instructions,give_credit,compensate_damages,rename
3, GNU General Public License v2.0 or later                   , GPL-2.0+            ,64320,p,p,p,p,,,f,,f,m,m,m,m,m,,,,,
16, Apache License 2.0                                         , Apache-2.0          ,63082,p,p,p,p,p,p,p,f,f,m,m,,,m,m,,,,
161, GNU General Public License v3.0 or later                   , GPL-3.0+            ,60590,p,p,p,p,,p,f,,f,m,m,m,m,m,,m,,,
13, MIT License                                                , MIT                 ,34824,p,p,p,,p,,p,,f,m,m,,,,,,,,
1," GNU Library or ""Lesser"" GPL (LGPL)                         ", LGPL                ,21535,p,p,p,p,,p,f,,f,m,m,m,m,m,,m,,,
7, BSD 4-clause (University of California-Specific)           , BSD-4-Clause-UC     ,20123,p,p,p,p,,,,f,f,m,m,,,,,,,,
206, Artistic License/GPL                                       , artistic_gpl        ,10629,p,p,p,,,,,f,f,,,,,m,,,,,
150, Microsoft Public License                                   , MS-PL               ,8507,p,p,p,,,,p,f,f,m,m,,,,,,,,
357, Microsoft Public License                                   , Ms-PL               ,8343,p,p,p,,,,p,f,f,m,m,,,,,,,,
29, Mozilla Public License 1.1                                 , MPL-1.1             ,6888,p,p,p,p,,p,p,f,f,m,m,,m,m,m,,m,,
19, Eclipse Public License 1.0                                 , EPL-1.0             ,6081,p,p,p,,p,p,p,f,f,m,m,m,m,,,m,,m,
429," BSD 3-clause ""New"" or ""Revised"" License                    ", BSD-3-Clause        ,5451,p,p,p,p,,,,f,f,m,m,,,,,,,,
122, GNU General Public License v3.0 only                       , GPL-3.0             ,3426,p,p,p,p,,p,f,,f,m,m,m,m,m,,m,,,
234, GNU Lesser General Public License v2.1 or later            , LGPL-2.1+           ,2443,p,p,p,,,,f,,f,m,m,m,m,m,m,,,,
151, Microsoft Reciprocal License                               , MS-RL               ,1586,p,p,p,,,,p,f,f,m,m,,m,,,,,,
185, GNU Lesser General Public License v3.0 only                , LGPL-3.0            ,1462,p,p,p,p,,p,f,,f,m,m,m,m,m,,m,,,
474, GPL 2                                                      , GPL2                ,1063,p,p,p,p,,,f,,f,m,m,m,m,m,,,,,
12, Common Development and Distribution License 1.0            , CDDL-1.0            ,839,p,p,p,p,,p,p,f,f,m,m,,m,,,,,,
117, Artistic License 2.0                                       , Artistic-2.0        ,752,p,p,p,,p,,p,f,f,m,,,,m,,m,,,m
479, GNU General Public License v3.0                            , GPLv3               ,629,p,p,p,p,,p,f,,f,m,m,m,m,m,,m,,,
485, GNU General Public License 3 or later                      , GPLv3+              ,600,p,p,p,p,,p,f,,f,m,m,m,m,m,,m,,,
126," BSD 2-clause ""Simplified"" License                          ", BSD-2-Clause        ,589,p,p,p,p,,,,,f,m,m,,,,,,,,
60, Ruby License                                               , Ruby                ,513,p,p,p,,,,p,,f,m,,,m,,,,,,
222, GNU Affero General Public License 3.0 or later             , AGPL 3.0+           ,498,p,p,p,p,,,f,,f,m,m,,m,m,,m,,,
358, GNU Lesser General Public License v3.0 or later            , LGPL-3.0+           ,447,p,p,p,p,,p,f,,f,m,m,m,m,m,,m,,,
306, GNU Lesser General Public License v2.1 only                , LGPL-2.1            ,431,p,p,p,,,,f,,f,m,m,m,m,m,m,,,,
