id,name,repo_url,license_name,license_abbr,language,secondary_language,builds_count,homepage_url
1032,libmwaw,git://git.code.sf.net/p/libmwaw/libmwaw,Mozilla Public License ,MPL,CXX,,36,https://sourceforge.net/projects/libmwaw/
17537,evanwyatt/jers,https://github.com/evanwyatt/jers.git,"BSD 3-Clause ""New"" or ""Revised"" License ",BSD3Clause,CXX,,83,https://github.com/evanwyatt/jers
23074,acidanthera/UEFIGraphicsFB,https://github.com/acidanthera/UEFIGraphicsFB.git,"BSD 3-Clause ""New"" or ""Revised"" License ",BSD3Clause,CXX,,15,https://github.com/acidanthera/UEFIGraphicsFB
13088,radsecproxy,https://github.com/radsecproxy/radsecproxy.git,"BSD 3-Clause ""New"" or ""Revised"" License ",BSD3Clause,CXX,,69,https://radsecproxy.github.io
3020,ODP-DPDK,https://github.com/OpenDataPlane/odp-dpdk.git,"BSD 3-Clause ""New"" or ""Revised"" License ",BSD3Clause,CXX,,405,https://www.opendataplane.org/
1973,zfsonlinux/zfs,https://github.com/zfsonlinux/zfs.git,Common Development and Distribution License ,CDDL,CXX,,980,http://zfsonlinux.org
23251,xmidt-org/curlws,https://github.com/xmidt-org/curlws.git,MIT license ,MIT,CXX,,5,https://github.com/xmidt-org/curlws
10511,qt-project-lts,https://code.qt.io,"GNU Library or ""Lesser"" General Public License version  ",LGPL,CXX,,316,https://www.qt.io
2667,RIOT-OS/RIOT,https://github.com/RIOT_OS/RIOT.git,"GNU Library or ""Lesser"" General Public License version  ",LGPL,CXX,,30,http://www.riot-os.org
24482,openvino-contrib,https://github.com/openvinotoolkit/openvino_contrib.git,Apache License ,Apache,CXX,,22,""
1160,etlegacy/etlegacy,https://github.com/etlegacy/etlegacy.git,GNU General Public License version ,GPL,CXX,,464,http://www.etlegacy.com
12130,ipxe/ipxe,https://github.com/ipxe/ipxe.git,GNU General Public License version ,GPL,CXX,,268,http://ipxe.org
25228,coverity-samples,https://github.com/RICSecLab/coverity-samples.git,Apache License ,Apache,CXX,,10,https://github.com/RICSecLab/coverity-samples
